geoid10,hospital,library,school,supermarket
245100101001000,3302.2,708.9,718.4,1000.5
245100101001001,3247.5,707.5,640.7,999.1
245100101001002,3195.8,592.5,589.0,884.5
245100101001003,3194.7,702.2,588.3,824.0
245100101001004,3130.5,644.7,524.2,759.9
245100101001005,3070.5,704.4,400.5,699.9
245100101001006,2954.3,658.2,344.6,633.5
245100101001008,2883.0,717.5,451.0,576.2
245100101001009,3027.5,524.2,473.4,565.5
245100101001010,3045.4,562.2,435.6,603.6
245100101001011,3077.8,665.1,468.0,703.7
245100101001012,3311.0,420.8,700.0,712.4
245100101001013,3247.0,475.8,640.6,767.4
245100101001014,3316.0,543.7,709.7,835.6
245100101001015,3484.1,597.4,876.7,889.3
245100101001016,3281.4,391.2,670.4,682.8
245100101001017,3185.9,365.2,574.9,587.4
245100101001018,3094.0,610.8,484.2,652.2
245100101002000,3529.5,544.5,944.1,836.1
245100101002001,3483.9,479.3,877.1,770.9
245100101002002,3447.2,340.3,844.8,631.9
245100101002003,3323.6,274.2,778.8,565.8
245100101002004,3283.9,310.4,674.2,602.0
245100101002005,3181.9,368.8,572.1,473.0
245100101002006,3182.8,430.9,567.9,472.3
245100101002007,3110.2,488.0,678.3,352.5
245100101002008,3001.6,479.5,669.8,344.0
245100101002009,3155.3,325.8,670.1,397.5
245100101002010,3135.5,339.2,664.6,449.8
245100101002011,3263.8,216.6,723.1,510.2
245100101002012,3250.2,203.0,900.0,600.7
245100101002013,3306.0,258.9,955.9,656.6
245100101002014,3572.1,460.2,965.3,751.8
245100101002015,3449.4,402.3,1056.2,841.0
245100101002017,3466.6,60.3,1066.5,766.0
245100101002018,3354.2,307.0,1005.2,704.7
245100101003000,3542.2,581.4,1170.0,810.8
245100101003001,3368.3,321.1,1019.3,718.9
245100101003002,3428.0,338.5,1036.6,736.2
245100101003003,3413.2,403.6,1040.4,858.2
245100101003004,3390.3,243.6,1017.5,835.3
245100101003005,3483.3,152.4,1110.5,928.3
245100101003007,3317.3,679.4,1193.0,762.2
245100101003008,3213.3,244.6,820.7,520.0
245100101003010,3032.2,414.2,862.8,382.7
245100101003011,3166.0,464.0,996.6,516.5
245100101003012,3254.6,453.4,966.9,699.6
245100101003013,3117.8,499.9,948.5,468.4
245100101003014,3295.1,657.2,1170.8,740.0
245100101003015,3386.7,507.6,1144.4,831.6
245100101003016,3397.3,436.6,1073.4,842.3
245100101003017,3397.2,436.5,1073.3,842.2
245100101003018,3384.4,374.8,1011.6,829.4
245100101003019,3316.7,438.3,1075.1,761.7
245100101003020,3412.5,365.4,1063.5,763.1
245100101003021,3609.6,614.6,1251.6,692.8
245100101003022,3660.0,622.4,1260.2,717.6
245100102001000,2505.2,817.6,382.6,565.2
245100102001001,2318.8,631.2,440.6,720.5
245100102001002,2319.1,631.5,503.7,720.8
245100102001003,2383.0,695.5,499.3,846.2
245100102001005,2502.0,814.4,256.9,690.9
245100102001006,2655.9,896.9,281.8,772.2
245100102001007,2597.7,910.1,336.4,826.8
245100102002000,2804.7,692.3,421.5,666.0
245100102002001,2747.2,749.6,478.8,723.3
245100102002002,2860.5,637.8,367.5,725.8
245100102002003,2917.4,580.4,423.6,669.6
245100102002004,3078.6,579.5,490.5,782.2
245100102002005,2973.6,657.0,366.8,905.3
245100102002006,3094.6,653.1,487.8,952.1
245100102002007,3190.3,596.3,603.0,895.2
245100102003000,2969.4,697.9,362.6,901.1
245100102003001,2970.5,757.9,359.0,1049.5
245100102003002,2787.5,762.7,177.7,987.0
245100102003003,2730.1,821.2,120.3,928.1
245100102003005,2609.0,941.3,110.4,806.8
245100102003006,2722.8,826.7,223.3,803.2
245100102003007,2779.5,770.6,227.5,812.0
245100102003008,2842.8,708.6,233.0,923.7
245100102003009,2901.8,648.6,290.2,940.2
245100102003010,2967.2,754.6,355.7,997.1
245100102003011,3026.8,717.8,415.2,1016.8
245100102004000,2327.5,639.9,563.9,910.8
245100102004001,2127.9,440.3,614.0,858.9
245100102004002,2076.0,388.4,561.3,859.5
245100102004003,2204.4,516.8,537.4,1026.1
245100102004004,2257.1,569.5,625.9,972.8
245100102004005,2322.3,634.7,558.7,905.6
245100103001000,1729.4,494.1,348.4,895.4
245100103001002,1672.6,550.9,401.8,838.6
245100103001013,2537.1,1122.8,413.7,679.8
245100103001014,2344.0,1202.1,401.0,759.0
245100103001015,2840.7,1096.9,615.5,653.9
245100103001016,2535.6,1010.1,412.2,567.0
245100103001017,2601.7,948.3,346.1,682.1
245100103001018,2603.4,1062.3,232.0,683.8
245100103001019,2544.5,1007.3,177.6,739.2
245100103001020,2656.6,893.2,290.6,737.0
245100103001021,2866.7,921.5,436.1,962.9
245100103001022,2697.8,898.1,525.2,455.0
245100103001023,2671.6,927.8,669.0,484.8
245100103002000,2343.6,1291.5,400.6,719.7
245100103002001,2211.6,1403.2,512.3,900.2
245100103002002,2178.2,1435.1,544.3,758.7
245100103002004,2038.7,1399.3,709.5,715.1
245100103002005,1994.3,1434.0,728.6,572.8
245100103002006,2051.4,1385.8,785.6,515.5
245100103002007,2079.1,1291.8,861.5,543.3
245100103002008,2138.2,1410.7,810.4,602.3
245100103002009,2444.8,1237.5,863.9,680.1
245100103002010,2182.6,1380.2,606.9,695.9
245100103002011,2178.0,1435.4,544.5,758.5
245100103002012,2565.5,1310.0,828.2,769.8
245100103002013,2660.9,1159.2,678.3,558.7
245100103002014,2444.9,1210.8,502.8,767.7
245100103002015,2547.7,1046.3,790.5,445.6
245100103002016,2436.1,1217.6,737.8,774.6
245100103002017,2425.7,1170.1,914.3,630.0
245100103002018,2332.7,1125.3,977.4,567.9
245100103002019,2279.0,1228.0,854.4,670.6
245100103002020,2328.7,1121.3,973.4,563.9
245100104001000,2817.0,728.4,567.1,401.8
245100104001001,2820.4,724.4,570.5,342.2
245100104001002,2757.0,823.3,789.0,380.2
245100104001003,2702.8,841.6,760.8,398.6
245100104001004,2702.7,909.0,760.6,305.4
245100104001005,2583.5,962.9,885.2,359.4
245100104001006,2581.1,1031.3,882.7,427.8
245100104001007,2393.3,1087.1,933.0,597.6
245100104001009,2775.5,705.9,897.3,128.7
245100104001010,2954.3,639.6,835.7,196.5
245100104001011,2992.1,609.2,799.5,234.4
245100104001012,3145.4,677.3,640.1,387.7
245100104001013,3023.7,555.4,744.8,265.9
245100104001015,2647.7,717.4,913.5,3.2
245100104001019,3031.5,413.6,862.1,382.1
245100104001020,3099.6,481.7,930.2,450.2
245100104002000,1878.5,1492.8,663.9,567.1
245100104002001,1813.6,1557.6,599.0,502.2
245100104002002,1780.6,1671.5,566.4,469.2
245100104002003,1727.3,1511.1,512.7,309.6
245100104002004,1879.3,1410.0,664.7,343.4
245100104002005,1899.4,1389.8,684.8,363.6
245100104002006,2052.4,1498.1,837.8,516.6
245100104002007,2000.8,1446.5,786.2,465.0
245100104002008,1985.6,1385.6,767.7,524.4
245100104002009,2161.5,1323.7,946.9,625.7
245100104002010,2144.7,1306.9,930.1,608.8
245100104002013,2132.1,1238.9,914.4,596.2
