distance,perc,amenity
0.0032,0.000322081,supermarket
0.0037,0.005797466,supermarket
0.016,0.010306605,supermarket
0.0202,0.014010542,supermarket
0.0217,0.038166648,supermarket
0.0387,0.043319951,supermarket
0.0449,0.052660312,supermarket
0.0516,0.052821353,supermarket
0.0564,0.06119547,supermarket
0.0612,0.080681395,supermarket
0.067,0.085029495,supermarket
0.071,0.085834698,supermarket
0.0762,0.100006281,supermarket
0.0834,0.101938769,supermarket
0.0835,0.118364921,supermarket
0.0873,0.177305821,supermarket
0.088,0.182620165,supermarket
0.0884,0.188739712,supermarket
0.0897,0.226745319,supermarket
0.0907,0.241561064,supermarket
0.0914,0.243815634,supermarket
0.1027,0.258953461,supermarket
0.1048,0.260080746,supermarket
0.1105,0.266361333,supermarket
0.1221,0.284558934,supermarket
0.1235,0.32916721,supermarket
0.1286,0.332226984,supermarket
0.1287,0.341567345,supermarket
0.1356,0.360409108,supermarket
0.1359,0.362341596,supermarket
0.1376,0.376996301,supermarket
0.1402,0.385531458,supermarket
0.1412,0.39261725,supermarket
0.1413,0.394066616,supermarket
0.1427,0.405178425,supermarket
0.1436,0.409365484,supermarket
0.1464,0.421282496,supermarket
0.1491,0.42901245,supermarket
0.1563,0.445438602,supermarket
0.1579,0.446404847,supermarket
0.1589,0.460254348,supermarket
0.1599,0.471205116,supermarket
0.1605,0.613565103,supermarket
0.1612,0.634339355,supermarket
0.1636,0.638365372,supermarket
0.1655,0.658978583,supermarket
0.1667,0.661555235,supermarket
0.1694,0.669768311,supermarket
0.1745,0.679591794,supermarket
0.1802,0.686033422,supermarket
0.1812,0.697467313,supermarket
0.1813,0.706807674,supermarket
0.1813,0.72645464,supermarket
0.1821,0.744330159,supermarket
0.1863,0.762366719,supermarket
0.1927,0.766070655,supermarket
0.1944,0.77412269,supermarket
0.1965,0.777665586,supermarket
0.1967,0.819536171,supermarket
0.1967,0.901827973,supermarket
0.2005,0.913906026,supermarket
0.2009,0.920991818,supermarket
0.2013,0.935807563,supermarket
0.202,0.937256929,supermarket
0.2029,0.951267471,supermarket
0.2045,0.952072674,supermarket
0.2046,0.967532583,supermarket
0.2047,0.978161269,supermarket
0.2047,0.984119776,supermarket
0.2101,1.002317376,supermarket
0.2116,1.019548732,supermarket
0.2123,1.035169681,supermarket
0.213,1.042094431,supermarket
0.2151,1.043865879,supermarket
0.2154,1.056266013,supermarket
0.2163,1.065123253,supermarket
0.2168,1.06898823,supermarket
0.2175,1.096204109,supermarket
0.2184,1.107799041,supermarket
0.2204,1.113274425,supermarket
0.2239,1.130022658,supermarket
0.2265,1.130988903,supermarket
0.2284,1.145804648,supermarket
0.2289,1.150313788,supermarket
0.2292,1.166095777,supermarket
0.2292,1.177529668,supermarket
0.2294,1.195888309,supermarket
0.2306,1.197015594,supermarket
0.234,1.204423466,supermarket
0.2343,1.211670298,supermarket
0.2344,1.223909392,supermarket
0.2345,1.224553555,supermarket
0.2363,1.248065498,supermarket
0.237,1.254346086,supermarket
0.2374,1.255473371,supermarket
0.2383,1.26207604,supermarket
0.2409,1.265457895,supermarket
0.2432,1.272704727,supermarket
0.2437,1.283494455,supermarket
0.2442,1.29605563,supermarket
0.2466,1.298793322,supermarket
0.2467,1.300403729,supermarket
0.2471,1.30298038,supermarket
0.2503,1.308938887,supermarket
0.2505,1.312481782,supermarket
0.2522,1.323754632,supermarket
0.2522,1.331323545,supermarket
0.2542,1.332933952,supermarket
0.2557,1.335188522,supermarket
0.2564,1.355479652,supermarket
0.2566,1.366913542,supermarket
0.2566,1.374643496,supermarket
0.257,1.378669514,supermarket
0.2586,1.380279921,supermarket
0.2618,1.420379058,supermarket
0.2625,1.438415617,supermarket
0.2628,1.444052042,supermarket
0.2642,1.45033263,supermarket
0.265,1.453714484,supermarket
0.2653,1.458545706,supermarket
0.2655,1.45951195,supermarket
0.2657,1.462571724,supermarket
0.2659,1.470462718,supermarket
0.2664,1.474649777,supermarket
0.2667,1.492203214,supermarket
0.2687,1.503315023,supermarket
0.2687,1.515715158,supermarket
0.2691,1.52296199,supermarket
0.2695,1.537616694,supermarket
0.2707,1.544702485,supermarket
0.2719,1.550016829,supermarket
0.272,1.559518231,supermarket
0.2723,1.566442981,supermarket
0.2728,1.586089948,supermarket
0.273,1.621196822,supermarket
0.2731,1.623290352,supermarket
0.2748,1.635529445,supermarket
0.2749,1.636012568,supermarket
0.2754,1.638589219,supermarket
0.2771,1.655820575,supermarket
0.2779,1.657592023,supermarket
0.2781,1.660973878,supermarket
0.2785,1.684646862,supermarket
0.2785,1.698496363,supermarket
0.2812,1.700911974,supermarket
0.2813,1.701073014,supermarket
0.2819,1.730865546,supermarket
0.2823,1.740689029,supermarket
0.2829,1.748902105,supermarket
0.2836,1.774024456,supermarket
0.2839,1.789967486,supermarket
0.2841,1.805105313,supermarket
0.2845,1.825074361,supermarket
0.2849,1.82732893,supermarket
0.285,1.832643274,supermarket
0.2851,1.848264223,supermarket
0.2867,1.857765625,supermarket
0.2872,1.867105986,supermarket
0.2873,1.877573632,supermarket
0.2873,1.880311324,supermarket
0.2874,1.902695983,supermarket
0.2881,1.905111593,supermarket
0.2888,1.915579239,supermarket
0.2897,1.95213548,supermarket
0.2906,1.968400592,supermarket
0.2915,1.977740953,supermarket
0.2937,1.9838605,supermarket
0.296,2.031850632,supermarket
0.296,2.032172713,supermarket
0.2967,2.033461039,supermarket
0.2981,2.033622079,supermarket
0.2981,2.060676919,supermarket
0.2989,2.062126285,supermarket
0.3007,2.070339361,supermarket
0.3011,2.09964877,supermarket
0.3013,2.118973655,supermarket
0.3024,2.122999673,supermarket
0.3033,2.132501075,supermarket
0.3054,2.147638902,supermarket
0.3056,2.152470123,supermarket
0.306,2.159072792,supermarket
0.3068,2.180813288,supermarket
0.309,2.185483468,supermarket
0.3095,2.188865323,supermarket
0.3096,2.196112155,supermarket
0.3099,2.199977132,supermarket
0.3107,2.205452516,supermarket
0.3111,2.225260524,supermarket
0.3128,2.230252786,supermarket
0.3135,2.238626902,supermarket
0.3146,2.239110025,supermarket
0.3147,2.247484142,supermarket
0.315,2.252476404,supermarket
0.3154,2.2698688,supermarket
0.3163,2.27888708,supermarket
0.3164,2.280980609,supermarket
0.3168,2.283074138,supermarket
0.3168,2.300144454,supermarket
0.3172,2.310451059,supermarket
0.3177,2.317697891,supermarket
0.3177,2.330098025,supermarket
0.3185,2.334929247,supermarket
0.3203,2.351999562,supermarket
0.3205,2.363433452,supermarket
0.3216,2.379054401,supermarket
0.323,2.38565707,supermarket
0.3242,2.389361007,supermarket
0.3245,2.398057205,supermarket
0.3264,2.409491095,supermarket
0.3273,2.413517113,supermarket
0.3279,2.414000235,supermarket
0.3286,2.423501637,supermarket
0.3289,2.423823718,supermarket
0.3294,2.427044533,supermarket
0.3306,2.429621184,supermarket
0.3309,2.430426387,supermarket
0.331,2.609986779,supermarket
0.3314,2.641389717,supermarket
0.3321,2.642839083,supermarket
0.3336,2.643161165,supermarket
0.3355,2.652018404,supermarket
0.3358,2.657010666,supermarket
0.3365,2.658137951,supermarket
0.3373,2.661036683,supermarket
0.3375,2.671182248,supermarket
0.3379,2.693244825,supermarket
0.3387,2.695177314,supermarket
0.3397,2.711764507,supermarket
0.3406,2.72384256,supermarket
0.3409,2.727385456,supermarket
0.3412,2.731089392,supermarket
0.3417,2.736081654,supermarket
0.3421,2.756694865,supermarket
0.3422,2.768933959,supermarket
0.3433,2.782944501,supermarket
0.3434,2.796632961,supermarket
0.344,2.803557711,supermarket
0.3458,2.817568253,supermarket
0.3461,2.83496065,supermarket
0.3463,2.867490873,supermarket
0.3464,2.888104084,supermarket
0.3468,2.90533544,supermarket
0.3469,2.921922633,supermarket
0.3471,2.934483808,supermarket
0.348,2.941247518,supermarket
0.3487,2.960733444,supermarket
0.3488,2.965403624,supermarket
0.3499,2.967497154,supermarket
0.3501,2.976032311,supermarket
0.3504,2.980863532,supermarket
0.3505,2.981346655,supermarket
0.3525,2.988915568,supermarket
0.3526,2.991331179,supermarket
0.3532,2.997289685,supermarket
0.3544,3.019352262,supermarket
0.3547,3.047534386,supermarket
0.3554,3.061061806,supermarket
0.356,3.067986556,supermarket
0.356,3.073945063,supermarket
0.3562,3.134979491,supermarket
0.3566,3.140293835,supermarket
0.3577,3.155914784,supermarket
0.3589,3.189250211,supermarket
0.3592,3.194242473,supermarket
0.3594,3.205998444,supermarket
0.3595,3.207608851,supermarket
0.3601,3.219847945,supermarket
0.3602,3.226611655,supermarket
0.3606,3.230476632,supermarket
0.3611,3.232731202,supermarket
0.3617,3.239978034,supermarket
0.3623,3.263167896,supermarket
0.3624,3.274279705,supermarket
0.3627,3.279110926,supermarket
0.3632,3.286196718,supermarket
0.3636,3.293282509,supermarket
0.3649,3.300529341,supermarket
0.3657,3.324685447,supermarket
0.3681,3.330482913,supermarket
0.3683,3.369615805,supermarket
0.3685,3.385075713,supermarket
0.3689,3.427912542,supermarket
0.369,3.496354844,supermarket
0.3691,3.501830228,supermarket
0.3693,3.503440635,supermarket
0.3695,3.514552444,supermarket
0.37,3.518578461,supermarket
0.3706,3.546438504,supermarket
0.3707,3.549176196,supermarket
0.371,3.552558051,supermarket
0.3714,3.591368862,supermarket
0.3718,3.609244381,supermarket
0.372,3.651598087,supermarket
0.3729,3.654657861,supermarket
0.3729,3.659328042,supermarket
0.3732,3.661582611,supermarket
0.3733,3.661743652,supermarket
0.3734,3.661904693,supermarket
0.3754,3.678813967,supermarket
0.3764,3.679941252,supermarket
0.3767,3.690569939,supermarket
0.3781,3.753858938,supermarket
0.3784,3.758207037,supermarket
0.3799,3.771734457,supermarket
0.3802,3.782524184,supermarket
0.3806,3.788965813,supermarket
0.381,3.791703505,supermarket
0.3813,3.797017848,supermarket
