,geoid10,H7X001
0,371290101001000,0
1,371290101001001,0
2,371290101001002,23
3,371290101001003,5
4,371290101001004,0
5,371290101001005,43
6,371290101001006,39
7,371290101001007,11
8,371290101001008,0
9,371290101001009,9
10,371290101001010,0
11,371290101001011,23
12,371290101001012,10
13,371290101001013,28
14,371290101001014,17
15,371290101001015,15
16,371290101001016,35
17,371290101001017,28
18,371290101001018,56
19,371290101001019,7
20,371290101001020,18
21,371290101001021,0
22,371290101001022,0
23,371290101001023,0
24,371290101001024,50
25,371290101001025,56
26,371290101001026,52
27,371290101001027,19
28,371290101001028,46
29,371290101001029,34
30,371290101001030,56
31,371290101001031,49
32,371290101001032,7
33,371290101001033,44
34,371290101001034,0
35,371290101001035,0
36,371290101001036,51
37,371290101001037,63
38,371290101001038,48
39,371290101001039,53
40,371290101001040,0
41,371290101002000,34
42,371290101002001,44
43,371290101002002,25
44,371290101002003,42
45,371290101002004,3
46,371290101002005,22
47,371290101002006,4
48,371290101002007,8
49,371290101002008,2
50,371290101002009,1
51,371290101002010,10
52,371290101002011,25
53,371290101002012,0
54,371290101002013,59
55,371290101002014,36
56,371290101002015,41
57,371290101002016,66
58,371290101002017,0
59,371290101002018,24
60,371290101002019,41
61,371290101002020,27
62,371290101002021,23
63,371290101002022,5
64,371290101002023,56
65,371290101002024,27
66,371290101002025,2
67,371290101002026,0
68,371290101002027,2
69,371290101002028,35
70,371290101002029,0
71,371290101002030,0
72,371290101002031,12
73,371290101002032,21
74,371290101002033,21
75,371290101002034,2
76,371290101002035,0
77,371290101002036,0
78,371290101002037,0
79,371290101002038,0
80,371290101002039,5
81,371290101002040,27
82,371290101002041,15
83,371290101002042,6
84,371290101002043,2
85,371290101002044,0
86,371290101002045,15
87,371290101002046,0
88,371290101002047,0
89,371290101003000,23
90,371290101003001,12
91,371290101003002,26
92,371290101003003,82
93,371290101003004,59
94,371290101003005,24
95,371290101003006,49
96,371290101003007,25
97,371290101003008,37
98,371290101003009,59
99,371290101003010,22
100,371290101003011,20
101,371290101003012,23
102,371290101003013,15
103,371290101003014,47
104,371290101003015,13
105,371290101003016,13
106,371290101003017,7
107,371290101003018,15
108,371290101003019,14
109,371290101003020,17
110,371290101003021,29
111,371290101003022,25
112,371290101003023,11
113,371290101003024,9
114,371290101003025,10
115,371290101003026,6
116,371290101003027,6
117,371290101003028,0
118,371290101003029,3
119,371290101003030,10
120,371290101003031,4
121,371290101003032,12
122,371290102001000,0
123,371290102001001,10
124,371290102001002,19
125,371290102001003,14
126,371290102001004,16
127,371290102001005,19
128,371290102001006,13
129,371290102001007,8
130,371290102001008,0
131,371290102001009,16
132,371290102001010,5
133,371290102001011,27
134,371290102001012,14
135,371290102001013,6
136,371290102001014,7
137,371290102001015,13
138,371290102001016,16
139,371290102001017,16
140,371290102001018,11
141,371290102001019,14
142,371290102001020,0
143,371290102001021,0
144,371290102001022,0
145,371290102001023,24
146,371290102001024,9
147,371290102001025,15
148,371290102001026,19
149,371290102001027,24
150,371290102001028,22
151,371290102001029,15
152,371290102001030,16
153,371290102001031,8
154,371290102001032,14
155,371290102001033,11
156,371290102001034,23
157,371290102001035,7
158,371290102001036,2
159,371290102001037,6
160,371290102001038,0
161,371290102001039,12
162,371290102001040,22
163,371290102001041,3
164,371290102001042,24
165,371290102001043,18
166,371290102001044,18
167,371290102001045,15
168,371290102001046,16
169,371290102001047,16
170,371290102001048,19
171,371290102001049,20
172,371290102001050,37
173,371290102001051,12
174,371290102001052,21
175,371290102001053,65
176,371290102001054,34
177,371290102001055,18
178,371290102001056,21
179,371290102001057,18
180,371290102001058,39
181,371290102001059,18
182,371290102001060,11
183,371290102001061,19
184,371290102001062,18
185,371290102001063,22
186,371290102001064,0
187,371290102001065,9
188,371290102001066,0
189,371290102001067,16
190,371290102001068,43
191,371290102001069,20
192,371290102001070,2
193,371290102002000,0
194,371290102002001,0
195,371290102002002,0
196,371290102002003,0
197,371290102002004,12
198,371290102002005,11
199,371290102002006,50
200,371290102002007,32
201,371290102002008,76
202,371290102002009,25
203,371290102002010,74
204,371290102002011,40
205,371290102002012,25
206,371290102002013,12
207,371290102002014,15
208,371290102002015,50
209,371290102002016,47
210,371290102002017,25
211,371290102002018,20
212,371290102002019,15
213,371290102002020,35
214,371290102002021,0
215,371290102002022,21
216,371290102002023,39
217,371290102002024,9
218,371290102002025,44
219,371290102002026,10
